0.848
class4,p
nonevent,0.026685
Ia,0.909639
nonevent,0.019156
Ib,0.977508
nonevent,0.881222
Ia,0.984475
II,0.339954
nonevent,0.846939
II,0.949782
II,0.961637
Ib,0.976770
II,0.374338
Ib,0.951421
II,0.949220
II,0.964270
Ib,0.848311
II,0.920758
nonevent,0.028713
nonevent,0.266297
II,0.844760
II,0.962339
II,0.980455
II,0.974490
II,0.960224
Ib,0.981196
II,0.928981
nonevent,0.452003
nonevent,0.441363
Ib,0.676344
nonevent,0.295296
Ib,0.977344
II,0.983336
nonevent,0.080216
II,0.926496
nonevent,0.049171
nonevent,0.015402
nonevent,0.333932
Ib,0.837485
nonevent,0.478174
nonevent,0.435101
nonevent,0.260147
nonevent,0.395342
nonevent,0.128901
nonevent,0.041753
nonevent,0.022560
nonevent,0.740061
nonevent,0.475084
II,0.981646
Ib,0.991921
II,0.988246
nonevent,0.011155
nonevent,0.047409
nonevent,0.030844
nonevent,0.076948
nonevent,0.092101
nonevent,0.065102
II,0.963608
nonevent,0.096637
nonevent,0.300648
II,0.590271
II,0.937405
nonevent,0.450038
nonevent,0.724637
nonevent,0.002110
nonevent,0.049654
Ib,0.941637
Ib,0.946009
Ib,0.977316
II,0.905552
nonevent,0.005665
Ia,0.976751
nonevent,0.152155
Ib,0.116499
nonevent,0.577614
nonevent,0.009344
nonevent,0.375718
nonevent,0.079287
nonevent,0.045024
nonevent,0.016769
Ib,0.972156
Ib,0.958027
nonevent,0.177985
nonevent,0.747680
II,0.969076
II,0.966943
II,0.974915
Ib,0.984637
II,0.458444
Ib,0.973298
nonevent,0.039661
nonevent,0.906062
nonevent,0.011383
II,0.726242
nonevent,0.017221
nonevent,0.006348
II,0.987525
nonevent,0.014811
nonevent,0.266501
nonevent,0.029461
II,0.685654
nonevent,0.040304
nonevent,0.006424
nonevent,0.006664
II,0.959776
II,0.056528
Ib,0.960019
Ib,0.988044
Ib,0.980168
nonevent,0.035655
II,0.976132
Ib,0.987544
II,0.996918
II,0.964800
Ib,0.939795
II,0.986001
nonevent,0.009086
nonevent,0.056078
II,0.980543
II,0.888886
nonevent,0.204947
II,0.867389
Ib,0.965198
II,0.968107
Ib,0.398849
nonevent,0.033950
nonevent,0.281076
nonevent,0.021505
II,0.977903
nonevent,0.036620
II,0.892650
nonevent,0.057629
Ib,0.866192
nonevent,0.282122
nonevent,0.019420
nonevent,0.040681
nonevent,0.402729
nonevent,0.020715
II,0.893847
Ib,0.965735
II,0.994079
Ib,0.989455
nonevent,0.133825
nonevent,0.001202
II,0.974977
Ib,0.973733
nonevent,0.032859
nonevent,0.827795
Ia,0.973363
nonevent,0.661923
Ib,0.977243
nonevent,0.224504
nonevent,0.018646
nonevent,0.098492
Ia,0.969978
nonevent,0.001684
nonevent,0.006362
II,0.910295
II,0.769014
II,0.479988
nonevent,0.304001
nonevent,0.532666
nonevent,0.042171
II,0.805050
Ia,0.987539
nonevent,0.413170
nonevent,0.058670
II,0.656742
Ia,0.990252
Ib,0.759041
II,0.751648
Ib,0.846170
nonevent,0.041226
nonevent,0.075224
II,0.875958
II,0.525277
Ib,0.874154
nonevent,0.104624
Ib,0.794406
II,0.958509
Ib,0.962237
nonevent,0.041233
II,0.593496
nonevent,0.057781
nonevent,0.121424
nonevent,0.157521
nonevent,0.240317
II,0.958231
II,0.905805
nonevent,0.466694
nonevent,0.022235
nonevent,0.239916
II,0.925607
nonevent,0.193030
nonevent,0.082779
Ib,0.995102
Ib,0.990193
II,0.863819
nonevent,0.588288
II,0.752587
nonevent,0.055969
Ib,0.991223
II,0.937229
II,0.945367
nonevent,0.056434
Ib,0.979717
Ib,0.992592
nonevent,0.235103
nonevent,0.102190
nonevent,0.013922
nonevent,0.186132
Ib,0.895682
nonevent,0.013662
nonevent,0.082756
nonevent,0.055682
Ia,0.978916
nonevent,0.018747
Ib,0.595661
Ib,0.531442
Ib,0.988332
nonevent,0.033810
nonevent,0.505308
II,0.947264
nonevent,0.042194
nonevent,0.017394
nonevent,0.073917
Ib,0.437614
nonevent,0.132758
nonevent,0.701772
II,0.885516
nonevent,0.798599
nonevent,0.229721
II,0.983833
nonevent,0.061709
nonevent,0.010846
II,0.969230
nonevent,0.022568
Ib,0.993665
II,0.865436
II,0.979903
nonevent,0.009388
nonevent,0.044115
II,0.928253
Ib,0.841022
nonevent,0.079166
nonevent,0.010919
nonevent,0.016146
Ib,0.963655
II,0.404309
II,0.955662
nonevent,0.090348
II,0.963665
II,0.982394
nonevent,0.334004
II,0.913783
nonevent,0.055153
Ib,0.923420
nonevent,0.054289
Ia,0.123752
nonevent,0.037080
Ib,0.990193
Ib,0.942311
nonevent,0.034915
